question,cluster,key
Student International Grade (Derived),0,ST001D01T
Student (Standardized) Birth - Month,0,ST003D02T
Student (Standardized) Birth -Year,0,ST003D03T
Student (Standardized) Gender,0,ST004D01T
What is the  highest level of schooling  completed by your mother?,0,ST005Q01TA
Does your mother have this qualification?    level 6  (incl. higher qualifications at level 5A in some countries),0,ST006Q01TA
Does your mother have this qualification?    level 5A  (excl. higher qualifications at level 5A in some countries),0,ST006Q02TA
Does your mother have any of the following qualifications?    level 5B ,0,ST006Q03TA
What is the  highest level of schooling  completed by your father?,0,ST007Q01TA
Does your father have this qualification?    level 6  (incl. higher qualifications at level 5A in some countries),0,ST008Q01TA
Does your father have this qualification?    level 5A  (excl. higher qualifications at level 5A in some countries),0,ST008Q02TA
Does your father have any of the following qualifications?    level 5B ,0,ST008Q03TA
In your home: A quiet place to study,0,ST011Q03TA
In your home: Books to help with your school work,0,ST011Q10TA
How old were you when you started    0 ? Years,0,ST125Q01NA
How old were you when you started    1 ? Years,0,ST126Q01TA
Have you ever repeated a  grade ? At    1 ,0,ST127Q01TA
Have you ever repeated a  grade ? At    2 ,0,ST127Q02TA
Which language do you usually speak with: My schoolmates,0,ST023Q05TA
How often during  test language lessons : Students don't listen to what the teacher says.,0,ST097Q01TA
How often during  test language lessons : There is noise and disorder.,0,ST097Q02TA
How often during  test language lessons : The teacher waits long for students to quiet down.,0,ST097Q03TA
How often during  test language lessons : Students cannot work well.,0,ST097Q04TA
How often during  test language lessons : Students don't start working for a long time after the lesson begins.,0,ST097Q05TA
How often during  test language lessons : The teacher shows aninterest in every student's learning.,0,ST100Q01TA
How often during  test language lessons : The teacher gives extra help when students need it.,0,ST100Q02TA
How often during  test language lessons : The teacher helps students with their learning.,0,ST100Q03TA
How often during  test language lessons : The teacher continues teaching until the students understands.,0,ST100Q04TA
How often during  test language lessons : The teacher sets clear goals for our learning.,0,ST102Q01TA
How often during  test language lessons : The teacher asks questions to check whether we have understood what was taught,0,ST102Q02TA
How often during  test language lessons : [...] the teacher presents a short summary of the previous lesson.,0,ST102Q03TA
How often during  test language lessons : The teacher tells us what we have to learn.,0,ST102Q04TA
Thinking of past two  test language lessons : The teacher made me feel confident in my ability to do well in the course.,0,ST211Q01HA
Thinking of past two  test language lessons : The teacher listened to my view on how to do things.,0,ST211Q02HA
Thinking of past two  test language lessons : I felt that my teacher understood me.,0,ST211Q03HA
How often in  test language lessons : The teacher adapts the lesson to my classs needs and knowledge.,0,ST212Q01HA
How often in  test language lessons : The teacher provides individual help when a student has difficulties [...],0,ST212Q02HA
How often in  test language lessons : The teacher changes the structure of the lesson on a topic that most [...],0,ST212Q03HA
How often during  test language lessons : The teacher gives me feedback on my strengths in this subject.,0,ST104Q02NA
How often during  test language lessons : The teacher tells me in which areas I can still improve.,0,ST104Q03NA
How often during  test language lessons : The teacher tells me how I can improve my performance.,0,ST104Q04NA
Thinking of past two  test language lessons : It was clear to me that the teacher liked teaching us.,0,ST213Q01HA
Thinking of past two  test language lessons : The enthusiasm of the teacher inspired me.,0,ST213Q02HA
Thinking of past two  test language lessons : It was clear that the teacher likes to deal with the topic of the lesson.,0,ST213Q03HA
Thinking of past two  test language lessons : The teacher showed enjoyment in teaching.,0,ST213Q04HA
"During the last month, how often did you have to read for school: Texts that include diagrams or maps",0,ST150Q01IA
"During the last month, how often did you have to read for school: Fiction (e.g., novels, short stories)",0,ST150Q02IA
"During the last month, how often did you have to read for school: Texts that include tables or graphs",0,ST150Q03IA
"During the last month, how often did you have to read for school: Digital texts including links",0,ST150Q04HA
"In your  test language lessons , how often: The teacher encourages students to express their opinion about a text.",0,ST152Q05IA
"In your  test language lessons , how often: The teacher helps students relate the stories they read to their lives.",0,ST152Q06IA
"In your  test language lessons , how often: The teacher shows students how the information in texts builds on [...]",0,ST152Q07IA
"In your  test language lessons , how often: The teacher poses questions that motivate students to participate actively.",0,ST152Q08IA
" this academic year , how many pages was the longest piece of text you had to read for your  test language lessons ?",0,ST154Q01HA
"When you have to read, does the teacher ask you to: Write a summary of the book or the chapter",0,ST153Q01HA
"When you have to read, does the teacher ask you to: List and write a short description of the main characters",0,ST153Q02HA
"When you have to read, does the teacher ask you to: Discuss in small groups with other students who read the same [...]",0,ST153Q03HA
"When you have to read, does the teacher ask you to: Give your personal thoughts about the book or the chapter [...]",0,ST153Q04HA
"When you have to read, does the teacher ask you to: Answer questions about the book or the chapter",0,ST153Q05HA
"When you have to read, does the teacher ask you to: Compare the content of the book or the chapter with your own [...]",0,ST153Q06HA
"When you have to read, does the teacher ask you to: Compare the book with other books or texts on a similar topic",0,ST153Q08HA
"When you have to read, does the teacher ask you to: Select a passage you liked or disliked and explain why",0,ST153Q09HA
"When you have to read, does the teacher ask you to: Write a text related to what you have read",0,ST153Q10HA
"Taught at school: How to use keywords when using a search engine such as  Google ,  Yahoo , etc.",0,ST158Q01HA
Taught at school: How to compare different web pages and decide what information is more relevant for your school work,0,ST158Q03HA
Taught at school: How to use the short description below the links in the list of results of a search,0,ST158Q05HA
Taught at school: How to detect whether the information is subjective or biased,0,ST158Q06HA
How often involved in: Searching information online to learn about a particular topic,0,ST176Q05IA
Thinking about your school: Trying hard at school will help me get a good job.,0,ST036Q05TA
Thinking about your school: Trying hard at school will help me get into a good  college .,0,ST036Q06TA
Thinking about your school: Trying hard at school is important.,0,ST036Q08TA
How true for you: My goal is to understand the content of my classes as thoroughly as possible.,0,ST208Q04HA
Thinking about your school: I feel like an outsider (or left out of things) at school.,0,ST034Q01TA
Thinking about your school: I make friends easily at school.,0,ST034Q02TA
Thinking about your school: I feel like I belong at school.,0,ST034Q03TA
Thinking about your school: I feel awkward and out of place in my school.,0,ST034Q04TA
Thinking about your school: Other students seem to like me.,0,ST034Q05TA
Thinking about your school: I feel lonely at school.,0,ST034Q06TA
Agree: Immigrant children should have the same opportunities for education that other children in the country have.,0,ST204Q02HA
How many foreign languages do you learn at your school this school year?,0,ST189Q01HA
At school: I learn how to communicate with people from different backgrounds.,0,ST221Q11HA
Did you change schools when you were attending    1 ?,0,EC031Q01TA
Did you change schools when you were attending    2 ?,0,EC032Q01TA
Have you ever changed your  study programme ?,0,EC033Q01NA
Find out about future study or types of work: I spoke to a  career advisor  at my school.,0,EC150Q04WA
Find out about future study or types of work: I spoke to a  career advisor  outside of my school.,0,EC150Q05WA
"Acquired skills: How to find information on jobs I am interested in. Yes, at school",0,EC151Q01WA
"Acquired skills: How to find information on jobs I am interested in. Yes, out of school",0,EC151Q01WB
"Acquired skills: How to find information on jobs I am interested in. No, never",0,EC151Q01WC
"Acquired skills: How to search for a job. Yes, at school",0,EC151Q02WA
"Acquired skills: How to search for a job. Yes, out of school",0,EC151Q02WB
"Acquired skills: How to search for a job. No, never",0,EC151Q02WC
"Acquired skills: How to write a  rsum  or a summary of my qualifications. Yes, at school",0,EC151Q03WA
"Acquired skills: How to write a  rsum  or a summary of my qualifications. Yes, out of school",0,EC151Q03WB
"Acquired skills: How to write a  rsum  or a summary of my qualifications. No, never",0,EC151Q03WC
"Acquired skills: How to prepare for a job interview. Yes, at school",0,EC151Q04WA
"Acquired skills: How to prepare for a job interview. Yes, out of school",0,EC151Q04WB
"Acquired skills: How to prepare for a job interview. No, never",0,EC151Q04WC
"Acquired skills: How to find information on student financing (e.g. student loans or grants). Yes, at school",0,EC151Q05WA
"Acquired skills: How to find information on student financing (e.g. student loans or grants). Yes, out of school",0,EC151Q05WB
"Acquired skills: How to find information on student financing (e.g. student loans or grants). No, never",0,EC151Q05WC
Importance for decisions about future occupation: My school grades,0,EC153Q03HA
"If you had the opportunity to participate in a student exchange programme [...], would you like to take part?",0,EC160Q01HA
"Learned how to manage your money in a course: At school, in a subject or course specifically about managing your money",0,FL150Q01TA
Learned how to manage your money in a course: At school as part of another subject or course,0,FL150Q02TA
Learned how to manage your money in a course: In an activity outside school,0,FL150Q03TA
Text books used in the last 12 months: Have you had a specific text book on money matters?,0,FL151Q01HA
Text books used in the last 12 months: Have you had a text book on some other subject that discusses money matters?,0,FL151Q02HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Interest payment",0,FL164Q01HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Compound interest",0,FL164Q02HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Exchange rate",0,FL164Q03HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Depreciation",0,FL164Q04HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Shares/stocks",0,FL164Q05HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Return on investment",0,FL164Q06HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Dividend",0,FL164Q07HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Diversification",0,FL164Q08HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Debit card",0,FL164Q09HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Bank loan",0,FL164Q10HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Pension plan",0,FL164Q11HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Budget",0,FL164Q12HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Wage",0,FL164Q13HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Entrepreneur",0,FL164Q14HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Central bank",0,FL164Q15HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Income tax",0,FL164Q16HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Credit default swap",0,FL164Q17HA
"School lessons in the last 12 months, have you heard of, or learnt about, the following term: Call option",0,FL164Q18HA
Encountered types of problems about money matters: During your mathematics class,0,FL165Q01HA
Encountered types of problems about money matters: During another class,0,FL165Q02HA
Encountered types of problems about money matters: During [...] school time from an outside visitor [...],0,FL165Q03HA
Encountered types of problems about money matters: During extra-curricular activity outside of school time,0,FL165Q04HA
Encountered in a school lesson in the last 12 months: Describing the purpose and uses of money,0,FL166Q01HA
Encountered in a school lesson in the last 12 months: Exploring the difference between spending money on needs and wants,0,FL166Q02HA
Encountered in a school lesson in the last 12 months: Exploring ways of planning to pay an expense,0,FL166Q03HA
Encountered in a school lesson in the last 12 months: Discussing the ways in which money invested in the stock [...],0,FL166Q06HA
Encountered in a school lesson in the last 12 months: Analysing advertisements to understand how they encourage [...],0,FL166Q07HA
"Get information about money matters (spending, saving, banking, investment): Teachers",0,FL153Q06HA
"Do you get money from any of these sources? Working outside school hours (e.g. a holiday job, part-time work)",0,FL156Q03TA
In the last 12 months: Talked to someone about the job you would like to do when you finish your education,0,FL168Q02HA
How much effort did you put into this test?,0,EFFORT1
Grade compared to modal grade in country,0,GRADE
Age,0,AGE
Mothers Education ( ),0,MISCED
Fathers Education ( ),0,FISCED
Highest Education of parents ( ),0,HISCED
Index highest parental education in years of schooling,0,PARED
Mothers Education - alternate definition ( ),0,MISCED_D
Fathers Education - alternate definition ( ),0,FISCED_D
Highest Education of parents - alternate definition ( ),0,HISCED_D
Index highest parental education (international years of schooling scale),0,PAREDINT
Duration in early childhood education and care,0,DURECEC
Grade Repetition,0,REPEAT
Students expected occupational status (SEI),0,BSMJ
Number of school changes,0,SCCHANGE
Number of changes in educational biography (Sum),0,CHANGE
Disciplinary climate in test language lessons (WLE),0,DISCLIMA
Teacher support in test language lessons (WLE),0,TEACHSUP
Teacher-directed instruction (WLE),0,DIRINS
Adaptation of instruction (WLE),0,ADAPTIVITY
Perceived teacher's interest (WLE),0,TEACHINT
Perception of difficulty of the PISA test (WLE),0,PISADIFF
Attitude towards school: learning activities (WLE),0,ATTLNACT
Student's awareness of global issues (WLE),0,GCAWARE
Student's attitudes towards immigrants (WLE),0,ATTIMM
Student's interest in learning about other cultures (WLE),0,INTCULT
Subjective well-being: Sense of belonging to school (WLE),0,BELONG
Information about careers (WLE),0,INFOCAR
Information about the labour market provided by the school (WLE),0,INFOJOB1
Information about the labour market provided outside of school (WLE),0,INFOJOB2
Financial education in school lessons (WLE),0,FLSCHOOL
Parental involvement in matters of Financial Literacy (WLE),0,FLFAMILY
Plausible Value 1 in Mathematics,1,PV1MATH
Plausible Value 2 in Mathematics,1,PV2MATH
Plausible Value 3 in Mathematics,1,PV3MATH
Plausible Value 4 in Mathematics,1,PV4MATH
Plausible Value 5 in Mathematics,1,PV5MATH
Plausible Value 6 in Mathematics,1,PV6MATH
Plausible Value 7 in Mathematics,1,PV7MATH
Plausible Value 8 in Mathematics,1,PV8MATH
Plausible Value 9 in Mathematics,1,PV9MATH
Plausible Value 10 in Mathematics,1,PV10MATH
Plausible Value 1 in Reading,1,PV1READ
Plausible Value 2 in Reading,1,PV2READ
Plausible Value 3 in Reading,1,PV3READ
Plausible Value 4 in Reading,1,PV4READ
Plausible Value 5 in Reading,1,PV5READ
Plausible Value 6 in Reading,1,PV6READ
Plausible Value 7 in Reading,1,PV7READ
Plausible Value 8 in Reading,1,PV8READ
Plausible Value 9 in Reading,1,PV9READ
Plausible Value 10 in Reading,1,PV10READ
Plausible Value 1 in Science,1,PV1SCIE
Plausible Value 2 in Science,1,PV2SCIE
Plausible Value 3 in Science,1,PV3SCIE
Plausible Value 4 in Science,1,PV4SCIE
Plausible Value 5 in Science,1,PV5SCIE
Plausible Value 6 in Science,1,PV6SCIE
Plausible Value 7 in Science,1,PV7SCIE
Plausible Value 8 in Science,1,PV8SCIE
Plausible Value 9 in Science,1,PV9SCIE
Plausible Value 10 in Science,1,PV10SCIE
Plausible Value 1 in Global Competency,1,PV1GLCM
Plausible Value 2 in Global Competency,1,PV2GLCM
Plausible Value 3 in Global Competency,1,PV3GLCM
Plausible Value 4 in Global Competency,1,PV4GLCM
Plausible Value 5 in Global Competency,1,PV5GLCM
Plausible Value 6 in Global Competency,1,PV6GLCM
Plausible Value 7 in Global Competency,1,PV7GLCM
Plausible Value 8 in Global Competency,1,PV8GLCM
Plausible Value 9 in Global Competency,1,PV9GLCM
Plausible Value 10 in Global Competency,1,PV10GLCM
Language of Assessment,2,LANGTEST_COG
In your home: Books of poetry,2,ST011Q08TA
"How many in your home: E-book readers (e.g.  Kindle ,  Kobo ,  Bookeen )",2,ST012Q08NA
How many books are there in your home?,2,ST013Q01TA
"How much do you agree or disagree? For me, reading is a waste of time.",2,ST160Q04IA
How often do you read these materials because you want to? Magazines,2,ST167Q01IA
How often do you read these materials because you want to? Comic books,2,ST167Q02IA
"How often do you read these materials because you want to? Fiction (novels, narratives, stories)",2,ST167Q03IA
"How often do you read these materials because you want to? Non-fiction books (informational, documentary)",2,ST167Q04IA
How often do you read these materials because you want to? Newspapers,2,ST167Q05IA
Which of the following statements best describes how you read books (on any topic)?,2,ST168Q01HA
About how much time do you usually spend reading for enjoyment?,2,ST175Q01IA
How often involved in: Reading emails,2,ST176Q01IA
How often involved in: Reading online news,2,ST176Q03IA
Agree: I am a good reader.,2,ST161Q01HA
Agree: I am able to understand difficult texts.,2,ST161Q02HA
Agree: I read fluently.,2,ST161Q03HA
Agree: I have always had difficulty with reading.,2,ST161Q06HA
Agree: I have to read a text several times before completely understanding it.,2,ST161Q07HA
"In the PISA test, how do you feel about the reading tasks: There were many words I could not understand.",2,ST163Q02HA
"In the PISA test, how do you feel about the reading tasks: Many texts were too difficult for me.",2,ST163Q03HA
"In the PISA test, how do you feel about the reading tasks: I was lost when I had to navigate between different pages.",2,ST163Q04HA
Usefulness for understanding and memorising text: I concentrate on the parts of the text that are easy to understand.,2,ST164Q01IA
Usefulness for understanding and memorising text: I quickly read through the text twice.,2,ST164Q02IA
"Usefulness for understanding and memorising text: After reading the text, I discuss its content with other people.",2,ST164Q03IA
Usefulness for understanding and memorising text: I underline important parts of the text.,2,ST164Q04IA
Usefulness for understanding and memorising text: I summarise the text in my own words.,2,ST164Q05IA
Usefulness for understanding and memorising text: I read the text aloud to another person.,2,ST164Q06IA
"Usefulness for writing a summary: I write a summary. Then I check that each paragraph is covered in the summary, [...]",2,ST165Q01IA
Usefulness for writing a summary: I try to copy out accurately as many sentences as possible.,2,ST165Q02IA
"Usefulness for writing a summary: Before writing the summary, I read the text as many times as possible.",2,ST165Q03IA
Usefulness for writing a summary: I carefully check whether the most important facts in the text are represented [...],2,ST165Q04IA
"Usefulness for writing a summary: I read through the text, underlining the most important sentences. Then I write [...]",2,ST165Q05IA
Do you expect to complete?    level 3B or C ,2,ST225Q02HA
Do you expect to complete?    level 3A ,2,ST225Q03HA
Do you expect to complete?    level 5B ,2,ST225Q05HA
Do you expect to complete?    level 5A or 6 ,2,ST225Q06HA
  level,2,ISCEDL
Meta-cognition: understanding and remembering,2,UNDREM
Meta-cognition: summarising,2,METASUM
Meta-cognition: assess credibility,2,METASPAM
Teacher's stimulation of reading engagement perceived by student (WLE),2,STIMREAD
Joy/Like reading (WLE),2,JOYREAD
Self-concept of reading: Perception of competence (WLE),2,SCREADCOMP
Self-concept of reading: Perception of difficulty (WLE),2,SCREADDIFF
Work mastery (WLE),2,WORKMAST
Mastery goal orientation (WLE),2,MASTGOAL
Cognitive flexibility/adaptability (WLE),2,COGFLEX
FINAL TRIMMED NONRESPONSE ADJUSTED STUDENT WEIGHT,2,W_FSTUWT
Plausible Value 1 in Cognitive Process Subscale of Reading - Locate Information,2,PV1RCLI
Plausible Value 2 in Cognitive Process Subscale of Reading - Locate Information,2,PV2RCLI
Plausible Value 3 in Cognitive Process Subscale of Reading - Locate Information,2,PV3RCLI
Plausible Value 4 in Cognitive Process Subscale of Reading - Locate Information,2,PV4RCLI
Plausible Value 5 in Cognitive Process Subscale of Reading - Locate Information,2,PV5RCLI
Plausible Value 6 in Cognitive Process Subscale of Reading - Locate Information,2,PV6RCLI
Plausible Value 7 in Cognitive Process Subscale of Reading - Locate Information,2,PV7RCLI
Plausible Value 8 in Cognitive Process Subscale of Reading - Locate Information,2,PV8RCLI
Plausible Value 9 in Cognitive Process Subscale of Reading - Locate Information,2,PV9RCLI
Plausible Value 10 in Cognitive Process Subscale of Reading - Locate Information,2,PV10RCLI
Plausible Value 1 in Cognitive Process Subscale of Reading - Understand,2,PV1RCUN
Plausible Value 2 in Cognitive Process Subscale of Reading - Understand,2,PV2RCUN
Plausible Value 3 in Cognitive Process Subscale of Reading - Understand,2,PV3RCUN
Plausible Value 4 in Cognitive Process Subscale of Reading - Understand,2,PV4RCUN
Plausible Value 5 in Cognitive Process Subscale of Reading - Understand,2,PV5RCUN
Plausible Value 6 in Cognitive Process Subscale of Reading - Understand,2,PV6RCUN
Plausible Value 7 in Cognitive Process Subscale of Reading - Understand,2,PV7RCUN
Plausible Value 8 in Cognitive Process Subscale of Reading - Understand,2,PV8RCUN
Plausible Value 9 in Cognitive Process Subscale of Reading - Understand,2,PV9RCUN
Plausible Value 10 in Cognitive Process Subscale of Reading - Understand,2,PV10RCUN
Plausible Value 1 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV1RCER
Plausible Value 2 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV2RCER
Plausible Value 3 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV3RCER
Plausible Value 4 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV4RCER
Plausible Value 5 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV5RCER
Plausible Value 6 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV6RCER
Plausible Value 7 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV7RCER
Plausible Value 8 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV8RCER
Plausible Value 9 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV9RCER
Plausible Value 10 in Cognitive Process Subscale of Reading - Evaluate and Reflect,2,PV10RCER
Plausible Value 1 in Text Structure Subscale of Reading - Single,2,PV1RTSN
Plausible Value 2 in Text Structure Subscale of Reading - Single,2,PV2RTSN
Plausible Value 3 in Text Structure Subscale of Reading - Single,2,PV3RTSN
Plausible Value 4 in Text Structure Subscale of Reading - Single,2,PV4RTSN
Plausible Value 5 in Text Structure Subscale of Reading - Single,2,PV5RTSN
Plausible Value 6 in Text Structure Subscale of Reading - Single,2,PV6RTSN
Plausible Value 7 in Text Structure Subscale of Reading - Single,2,PV7RTSN
Plausible Value 8 in Text Structure Subscale of Reading - Single,2,PV8RTSN
Plausible Value 9 in Text Structure Subscale of Reading - Single,2,PV9RTSN
Plausible Value 10 in Text Structure Subscale of Reading - Single,2,PV10RTSN
Plausible Value 1 in Text Structure Subscale of Reading - Multiple,2,PV1RTML
Plausible Value 2 in Text Structure Subscale of Reading - Multiple,2,PV2RTML
Plausible Value 3 in Text Structure Subscale of Reading - Multiple,2,PV3RTML
Plausible Value 4 in Text Structure Subscale of Reading - Multiple,2,PV4RTML
Plausible Value 5 in Text Structure Subscale of Reading - Multiple,2,PV5RTML
Plausible Value 6 in Text Structure Subscale of Reading - Multiple,2,PV6RTML
Plausible Value 7 in Text Structure Subscale of Reading - Multiple,2,PV7RTML
Plausible Value 8 in Text Structure Subscale of Reading - Multiple,2,PV8RTML
Plausible Value 9 in Text Structure Subscale of Reading - Multiple,2,PV9RTML
Plausible Value 10 in Text Structure Subscale of Reading - Multiple,2,PV10RTML
In your home: A desk to study at,3,ST011Q01TA
In your home: A computer you can use for school work,3,ST011Q04TA
In your home: Educational software,3,ST011Q05TA
In your home: A link to the Internet,3,ST011Q06TA
